Date,Tenure,HDFC,KOTAK,ICICI,AXIS,IDFC,SBI,PNB,BOB,CANARA,UNION
2023-07-22,211 days - 270 days,,,5.75,,,,,,,
2023-07-22,271 days - 289 days,,,6.0,,,,,,,
2023-07-22,290 days - less than 1 year,,,6.0,,,,,,,
2023-07-22,1 year - 389 days,,,6.7,,,,,,,
2023-07-22,390 days - < 15 months,,,6.7,,,,,,,
2023-07-22,15 months - < 18 months,,,7.1,,,,,,,
2023-07-22,18 months - 2 years,,,7.1,,,,,,,
2023-07-22,2 years 1 day - 3 years,,,7.0,,,,,,,
2023-07-22,3 years 1 day - 5 years,,,7.0,,,,,,,
2023-07-22,5 years 1 day - 10 years,,,6.9,,,,,,,
2023-07-22,7 days - 14 days,,,,3.0,,,,,,
2023-07-22,15 days - 29 days,,,,3.0,,,,,,
2023-07-22,30 days - 45 days,,,,3.5,,,,,,
2023-07-22,46 days - 60 days,,,,4.25,,,,,,
2023-07-22,61 days - less than 3 months,,,,4.5,,,,,,
2023-07-22,3 months - less than 4 months,,,,4.75,,,,,,
2023-07-22,4 months - less than 5 months,,,,4.75,,,,,,
2023-07-22,5 months - less than 6 months,,,,4.75,,,,,,
2023-07-22,6 months - less than 7 months,,,,5.75,,,,,,
2023-07-22,7 months - less than 8 months,,,,5.75,,,,,,
2023-07-22,8 months - less than 9 months,,,,5.75,,,,,,
2023-07-22,9 months - less than 10 months,,,,6.0,,,,,,
2023-07-22,10 months - less than 11 months,,,,6.0,,,,,,
2023-07-22,11 months - 11 months 24 days,,,,6.0,,,,,,
2023-07-22,11 months 25 days - less than 1 year,,,,6.0,,,,,,
2023-07-22,1 year - 1 year 4 days,,,,6.7,,,,,,
2023-07-22,1 year 5 days - 1 year 10 days,,,,6.7,,,,,,
2023-07-22,1 year 11 days - 1 year 24 days,,,,6.7,,,,,,
2023-07-22,1 year 25 days - less than 13 months,,,,6.7,,,,,,
2023-07-22,13 months - less than 14 months,,,,6.7,,,,,,
2023-07-22,14 months - less than 15 months,,,,6.7,,,,,,
2023-07-22,15 months - less than 16 months,,,,7.1,,,,,,
2023-07-22,16 months - less than 17 months,,,,7.1,,,,,,
2023-07-22,17 months - less than 18 months,,,,7.1,,,,,,
2023-07-22,18 months - less than 2 years,,,,7.1,,,,,,
2023-07-22,2 years - less than 30 months,,,,7.1,,,,,,
2023-07-22,30 months - less than 3 years,,,,7.1,,,,,,
2023-07-22,3 years - less than 5 years,,,,7.1,,,,,,
2023-07-22,5 years - 10 years,,,,7.0,,,,,,
2023-07-22,7 - 14 days,,,,,3.5,,,,,
2023-07-22,15 - 29 days,,,,,3.5,,,,,
2023-07-22,30 - 45 days,,,,,4.0,,,,,
2023-07-22,46 - 90 days,,,,,4.5,,,,,
2023-07-22,91 - 180 days,,,,,5.0,,,,,
2023-07-22,181 days - 1 year,,,,,6.5,,,,,
2023-07-22,1 year 1 day - 550 days,,,,,7.5,,,,,
2023-07-22,551 days - 2 years,,,,,7.25,,,,,
2023-07-22,2 years 1 day - 749 days,,,,,7.25,,,,,
2023-07-22,750 days,,,,,7.25,,,,,
2023-07-22,751 days - 3 years,,,,,7.25,,,,,
2023-07-22,3 years 1 day - 5 years,,,,,7.0,,,,,
2023-07-22,5 years 1 day - 10 years,,,,,7.0,,,,,
2023-07-22,7 days - 45 days,,,,,,3.0,,,,
2023-07-22,46 days - 179 days,,,,,,4.5,,,,
2023-07-22,180 days - 210 days,,,,,,5.25,,,,
2023-07-22,211 days - less than 1 year,,,,,,5.75,,,,
2023-07-22,1 year - less than 2 year,,,,,,6.8,,,,
2023-07-22,2 years - less than 3 years,,,,,,7.0,,,,
2023-07-22,3 years - less than 5 years,,,,,,6.5,,,,
2023-07-22,5 years and up - 10 years,,,,,,6.5,,,,
2023-07-22,400 days ,,,,,,7.1,,,,
2023-07-22,7 - 14 days,,,,,,,3.5,,,
2023-07-22,15 - 29 days,,,,,,,3.5,,,
2023-07-22,30 - 45 days,,,,,,,3.5,,,
2023-07-22,46 - 90 days,,,,,,,4.5,,,
2023-07-22,91 - 179 days,,,,,,,4.5,,,
2023-07-22,180 - 270 days,,,,,,,5.5,,,
2023-07-22,271 days - less than 1 year,,,,,,,5.8,,,
2023-07-22,1 year,,,,,,,6.75,,,
2023-07-22,Above 1 year - 443 days,,,,,,,6.8,,,
2023-07-22,444 days,,,,,,,7.25,,,
2023-07-22,445 days - 2 years,,,,,,,6.8,,,
2023-07-22,Above 2 years - 3 years,,,,,,,7.0,,,
2023-07-22,Above 3 years - 5 years,,,,,,,6.5,,,
2023-07-22,Above 5 years - 10 years,,,,,,,6.5,,,
2023-07-22,7 days - 14 days,,,,,,,,3.0,,
2023-07-22,15 days - 45 days,,,,,,,,3.0,,
2023-07-22,46 days - 90 days,,,,,,,,4.5,,
2023-07-22,91 days - 180 days,,,,,,,,4.5,,
2023-07-22,181 days - 210 days,,,,,,,,5.25,,
2023-07-22,211 days - 270 days,,,,,,,,5.75,,
