,HDFC,ICICI,AXIS,IDFC,SBI,PNB,BOB,CANARA,UNION
355,6.0,6.0,6.0,6.5,5.75,5.8,,6.5,5.25
356,6.0,6.0,6.0,6.5,5.75,5.8,,6.5,5.25
357,6.0,6.0,6.0,6.5,5.75,5.8,,6.5,5.25
358,6.0,6.0,6.0,6.5,5.75,5.8,,6.5,5.25
359,6.0,6.0,6.0,6.5,5.75,5.8,,6.5,5.25
360,6.0,6.0,6.0,6.5,5.75,5.8,,6.5,5.25
361,6.0,6.0,6.0,6.5,5.75,5.8,,6.5,5.25
362,6.0,6.0,6.0,6.5,5.75,5.8,,6.5,5.25
363,6.0,6.0,6.0,6.5,5.75,5.8,,6.5,5.25
364,6.0,6.0,6.0,6.5,5.75,5.8,,6.5,5.25
365,6.6,6.7,6.75,6.5,6.8,6.8,6.75,6.9,6.3
366,6.6,6.7,6.75,7.5,6.8,6.8,6.75,6.9,6.3
367,6.6,6.7,6.75,7.5,6.8,6.8,6.75,6.9,6.3
368,6.6,6.7,6.75,7.5,6.8,6.8,6.75,6.9,6.3
369,6.6,6.7,6.75,7.5,6.8,6.8,6.75,6.9,6.3
370,6.6,6.7,6.8,7.5,6.8,6.8,6.75,6.9,6.3
371,6.6,6.7,6.8,7.5,6.8,6.8,6.75,6.9,6.3
372,6.6,6.7,6.8,7.5,6.8,6.8,6.75,6.9,6.3
373,6.6,6.7,6.8,7.5,6.8,6.8,6.75,6.9,6.3
374,6.6,6.7,6.8,7.5,6.8,6.8,6.75,6.9,6.3
